,Unnamed: 0,InvoiceNo,Date,Country,ProductID,Shop,Gender,Size (US),Size (Europe),Size (UK),UnitPrice,Discount,Year,Month,SalePrice
20,,52404,2014-01-03 14:18:24,United States,2213,US11,Female,9.5,40,7.5,169,0.1,2014,1,152.1
21,,52405,2014-01-03 15:01:36,United States,2213,US7,Female,8.0,38-39,6.0,139,0.0,2014,1,139.0
22,,52406,2014-01-03 15:59:12,United States,2147,US15,Male,9.5,42-43,9.0,139,0.0,2014,1,139.0
23,,52407,2014-01-04 02:32:48,United States,2224,US13,Male,9.0,42,8.5,149,0.1,2014,1,134.1
24,,52408,2014-01-04 02:32:48,Germany,2206,GER2,Male,8.5,41-42,8.0,149,0.2,2014,1,119.2
25,,52409,2014-01-04 05:11:12,Germany,2157,GER2,Male,12.0,45,11.5,149,0.2,2014,1,119.2
26,,52410,2014-01-04 05:11:12,Canada,2169,CAN3,Female,8.0,38-39,6.0,129,0.0,2014,1,129.0
27,,52411,2014-01-04 14:18:24,United States,2191,US13,Male,10.5,43-44,10.0,139,0.0,2014,1,139.0
28,,52411,2014-01-04 14:18:24,United States,2234,US6,Female,9.5,40,7.5,159,0.0,2014,1,159.0
29,,52411,2014-01-04 14:18:24,United States,2197,US1,Male,10.0,43,9.5,129,0.0,2014,1,129.0
30,,52412,2014-01-04 15:01:36,United States,2173,US15,Male,10.5,43-44,10.0,159,0.0,2014,1,159.0
31,,52413,2014-01-05 00:52:00,United Kingdom,2156,UK5,Female,8.0,38-39,6.0,169,0.1,2014,1,152.1
32,,52414,2014-01-05 02:32:48,Germany,2235,GER1,Male,9.5,42-43,9.0,169,0.3,2014,1,118.3
33,,52414,2014-01-05 02:32:48,Germany,2239,GER2,Female,8.5,39,6.5,129,0.5,2014,1,64.5
34,,52415,2014-01-05 05:11:12,Canada,2169,CAN3,Female,8.0,38-39,6.0,129,0.0,2014,1,129.0
35,,52416,2014-01-05 05:11:12,Germany,2235,GER1,Male,10.5,43-44,10.0,169,0.5,2014,1,84.5
36,,52417,2014-01-05 09:44:48,United States,2154,US15,Male,11.0,44,10.5,189,0.0,2014,1,189.0
37,,52418,2014-01-05 15:01:36,United States,2152,US15,Male,8.0,41,7.5,139,0.0,2014,1,139.0
38,,52419,2014-01-06 00:52:00,Canada,2154,CAN3,Male,10.5,43-44,10.0,179,0.0,2014,1,179.0
39,,52420,2014-01-06 00:52:00,Germany,2154,GER1,Male,10.0,43,9.5,199,0.0,2014,1,199.0
40,,52421,2014-01-06 05:11:12,Germany,2206,GER2,Male,8.5,41-42,8.0,149,0.2,2014,1,119.2
41,,52421,2014-01-06 05:11:12,Germany,2235,GER1,Male,10.5,43-44,10.0,169,0.5,2014,1,84.5
42,,52422,2014-01-06 09:44:48,United States,2213,US7,Female,8.0,38-39,6.0,139,0.0,2014,1,139.0
43,,52423,2014-01-06 09:59:12,United States,2225,US15,Male,10.0,43,9.5,199,0.3,2014,1,139.29999999999998
44,,52424,2014-01-06 14:47:12,Canada,2150,CAN2,Female,9.0,39-40,7.0,139,0.2,2014,1,111.2
45,,52425,2014-01-07 00:52:00,Canada,2160,CAN7,Male,9.5,42-43,9.0,149,0.2,2014,1,119.2
46,,52426,2014-01-07 00:52:00,United Kingdom,2167,UK2,Female,8.0,38-39,6.0,199,0.0,2014,1,199.0
47,,52427,2014-01-07 09:44:48,Germany,2242,GER2,Female,7.0,37-38,5.0,189,0.1,2014,1,170.1
48,,52428,2014-01-07 09:44:48,United States,2173,US15,Male,10.5,43-44,10.0,159,0.0,2014,1,159.0
49,,52429,2014-01-07 09:59:12,Germany,2239,GER1,Female,9.5,40,7.5,159,0.5,2014,1,79.5
50,,52430,2014-01-07 14:47:12,United Kingdom,2168,UK1,Male,10.0,43,9.5,159,0.1,2014,1,143.1
51,,52431,2014-01-07 21:44:48,United States,2204,US13,Male,9.5,42-43,9.0,129,0.1,2014,1,116.10000000000001
52,,52432,2014-01-08 00:52:00,Canada,2238,CAN5,Male,10.0,43,9.5,169,0.0,2014,1,169.0
53,,52433,2014-01-08 09:44:48,Canada,2154,CAN3,Male,10.5,43-44,10.0,179,0.0,2014,1,179.0
54,,52434,2014-01-08 09:59:12,Germany,2238,GER2,Female,9.5,40,7.5,189,0.0,2014,1,189.0
55,,52435,2014-01-08 14:47:12,United Kingdom,2229,UK4,Male,7.0,40,6.5,169,0.0,2014,1,169.0
56,,52436,2014-01-08 18:08:48,Germany,2225,GER2,Male,9.5,42-43,9.0,179,0.1,2014,1,161.1
57,,52437,2014-01-08 21:44:48,United States,2207,US13,Male,12.0,45,11.5,169,0.0,2014,1,169.0
58,,52438,2014-01-09 04:56:48,United States,2168,US15,Male,11.0,44,10.5,139,0.1,2014,1,125.10000000000001
59,,52439,2014-01-09 09:44:48,Canada,2160,CAN7,Male,9.5,42-43,9.0,149,0.2,2014,1,119.2
60,,52440,2014-01-09 18:08:48,Germany,2195,GER2,Male,9.0,42,8.5,189,0.0,2014,1,189.0
61,,52441,2014-01-09 21:44:48,United States,2191,US15,Female,8.5,39,6.5,189,0.5,2014,1,94.5
62,,52442,2014-01-09 23:54:24,Canada,2217,CAN3,Female,9.0,39-40,7.0,149,0.0,2014,1,149.0
63,,52443,2014-01-10 04:56:48,United States,2195,US7,Female,8.0,38-39,6.0,129,0.1,2014,1,116.10000000000001
64,,52444,2014-01-10 18:08:48,Germany,2157,GER2,Male,12.0,45,11.5,149,0.2,2014,1,119.2
65,,52445,2014-01-10 19:06:24,United States,2176,US5,Female,8.0,38-39,6.0,129,0.0,2014,1,129.0
66,,52446,2014-01-10 19:06:24,Germany,2185,GER1,Male,8.0,41,7.5,179,0.0,2014,1,179.0
67,,52447,2014-01-10 22:56:48,Canada,2213,CAN6,Female,8.0,38-39,6.0,139,0.0,2014,1,139.0
68,,52448,2014-01-10 23:54:24,Canada,2150,CAN2,Female,9.0,39-40,7.0,139,0.2,2014,1,111.2
69,,52449,2014-01-11 04:56:48,United States,2154,US15,Male,11.0,44,10.5,189,0.0,2014,1,189.0
70,,52450,2014-01-11 19:06:24,United States,2230,US15,Female,8.0,38-39,6.0,129,0.0,2014,1,129.0
71,,52450,2014-01-11 19:06:24,United States,2207,US1,Female,8.0,38-39,6.0,199,0.1,2014,1,179.1
72,,52451,2014-01-11 22:56:48,United Kingdom,2167,UK2,Female,8.5,39,6.5,149,0.0,2014,1,149.0
73,,52452,2014-01-11 22:56:48,Germany,2225,GER2,Male,9.5,42-43,9.0,179,0.1,2014,1,161.1
74,,52453,2014-01-11 23:54:24,United Kingdom,2168,UK1,Male,10.0,43,9.5,159,0.1,2014,1,143.1
75,,52454,2014-01-12 19:06:24,United States,2159,US15,Female,8.0,38-39,6.0,179,0.5,2014,1,89.5
76,,52454,2014-01-12 19:06:24,United States,2168,US15,Male,11.0,44,10.5,139,0.1,2014,1,125.10000000000001
77,,52455,2014-01-12 20:04:00,Canada,2204,CAN1,Male,9.0,42,8.5,199,0.0,2014,1,199.0
78,,52456,2014-01-12 22:56:48,United States,2206,US12,Male,10.0,43,9.5,149,0.3,2014,1,104.3
79,,52457,2014-01-12 22:56:48,Germany,2195,GER2,Male,9.0,42,8.5,189,0.0,2014,1,189.0
80,,52458,2014-01-13 07:49:36,United States,2231,US9,Female,7.5,38,5.5,169,0.1,2014,1,152.1
81,,52459,2014-01-13 10:56:48,Canada,2172,CAN6,Female,8.0,38-39,6.0,149,0.2,2014,1,119.2
82,,52460,2014-01-13 20:04:00,Canada,2226,CAN6,Male,12.0,45,11.5,129,0.2,2014,1,103.2
83,,52461,2014-01-13 22:56:48,United States,2232,US4,Female,7.5,38,5.5,169,0.0,2014,1,169.0
84,,52461,2014-01-13 22:56:48,United States,2230,US14,Female,9.0,39-40,7.0,179,0.0,2014,1,179.0
85,,52461,2014-01-13 22:56:48,United States,2169,US3,Female,10.0,40-41,8.0,169,0.3,2014,1,118.3
86,,52462,2014-01-13 22:56:48,United Kingdom,2182,UK3,Female,8.5,39,6.5,129,0.0,2014,1,129.0
87,,52463,2014-01-14 07:49:36,Germany,2191,GER3,Male,10.0,43,9.5,149,0.0,2014,1,149.0
88,,52464,2014-01-14 10:56:48,Canada,2213,CAN6,Female,8.0,38-39,6.0,139,0.0,2014,1,139.0
89,,52465,2014-01-14 17:11:12,Germany,2199,GER2,Male,11.5,44-45,11.0,189,0.0,2014,1,189.0
90,,52466,2014-01-14 20:04:00,United States,2159,US15,Female,6.0,36-37,4.0,199,0.1,2014,1,179.1
91,,52467,2014-01-14 22:56:48,United States,2210,US2,Female,7.5,38,5.5,189,0.0,2014,1,189.0
92,,52467,2014-01-14 22:56:48,United States,2194,US13,Female,9.0,39-40,7.0,179,0.0,2014,1,179.0
93,,52467,2014-01-14 22:56:48,United States,2169,US14,Male,10.5,43-44,10.0,139,0.0,2014,1,139.0
94,,52468,2014-01-15 07:49:36,United States,2192,US3,Female,7.5,38,5.5,169,0.0,2014,1,169.0
95,,52469,2014-01-15 10:56:48,Germany,2225,GER2,Male,9.5,42-43,9.0,179,0.1,2014,1,161.1
96,,52470,2014-01-15 17:11:12,Canada,2178,CAN5,Male,9.5,42-43,9.0,139,0.1,2014,1,125.10000000000001
97,,52471,2014-01-15 17:11:12,United States,2152,US15,Female,7.5,38,5.5,149,0.3,2014,1,104.3
98,,52472,2014-01-15 22:56:48,United States,2231,US9,Female,7.5,38,5.5,169,0.1,2014,1,152.1
99,,52472,2014-01-15 22:56:48,United States,2222,US1,Female,9.0,39-40,7.0,139,0.1,2014,1,125.10000000000001
100,,52472,2014-01-15 22:56:48,United States,2202,US14,Female,10.0,40-41,8.0,129,0.3,2014,1,90.3
101,,52473,2014-01-16 07:35:12,Canada,2213,CAN2,Male,8.5,41-42,8.0,169,0.5,2014,1,84.5
102,,52474,2014-01-16 16:42:24,United States,2204,US6,Female,7.5,38,5.5,169,0.0,2014,1,169.0
103,,52474,2014-01-16 16:42:24,United States,2161,US15,Male,10.0,43,9.5,139,0.0,2014,1,139.0
104,,52474,2014-01-16 16:42:24,United States,2233,US1,Female,9.5,40,7.5,149,0.3,2014,1,104.3
105,,52475,2014-01-16 17:11:12,Germany,2242,GER2,Female,7.0,37-38,5.0,189,0.1,2014,1,170.1
106,,52476,2014-01-16 17:11:12,United States,2194,US15,Female,7.5,38,5.5,129,0.0,2014,1,129.0
107,,52477,2014-01-17 05:11:12,Canada,2177,CAN6,Male,11.0,44,10.5,169,0.0,2014,1,169.0
108,,52478,2014-01-17 07:35:12,Canada,2220,CAN6,Male,9.5,42-43,9.0,169,0.0,2014,1,169.0
109,,52479,2014-01-17 11:40:00,United States,2177,US5,Female,7.5,38,5.5,159,0.2,2014,1,127.2
110,,52479,2014-01-17 11:40:00,United States,2163,US9,Female,9.5,40,7.5,129,0.1,2014,1,116.10000000000001
111,,52480,2014-01-17 16:42:24,United States,2232,US4,Female,7.5,38,5.5,169,0.0,2014,1,169.0
112,,52480,2014-01-17 16:42:24,United States,2163,US14,Female,9.5,40,7.5,169,0.0,2014,1,169.0
113,,52480,2014-01-17 16:42:24,United States,2150,US8,Male,9.5,42-43,9.0,199,0.0,2014,1,199.0
114,,52481,2014-01-17 17:11:12,Canada,2154,CAN3,Male,10.5,43-44,10.0,179,0.0,2014,1,179.0
115,,52482,2014-01-17 22:42:24,United States,2177,US15,Male,14.0,47,13.5,159,0.1,2014,1,143.1
116,,52483,2014-01-18 05:11:12,Canada,2241,CAN5,Male,9.5,42-43,9.0,139,0.2,2014,1,111.2
117,,52484,2014-01-18 07:35:12,United Kingdom,2221,UK2,Female,6.5,37,4.5,159,0.2,2014,1,127.2
118,,52485,2014-01-18 11:40:00,United States,2204,US6,Female,7.5,38,5.5,169,0.0,2014,1,169.0
119,,52485,2014-01-18 11:40:00,United States,2233,US1,Female,9.5,40,7.5,149,0.3,2014,1,104.3
120,,52486,2014-01-18 16:42:24,United States,2210,US2,Female,7.5,38,5.5,189,0.0,2014,1,189.0
121,,52486,2014-01-18 16:42:24,United States,2191,US9,Male,10.5,43-44,10.0,199,0.0,2014,1,199.0
122,,52486,2014-01-18 16:42:24,United States,2161,US15,Male,10.0,43,9.5,139,0.0,2014,1,139.0
123,,52487,2014-01-18 18:23:12,United States,2154,US15,Female,8.0,38-39,6.0,139,0.3,2014,1,97.3
124,,52488,2014-01-18 22:42:24,Canada,2211,CAN7,Female,8.5,39,6.5,149,0.0,2014,1,149.0
125,,52489,2014-01-18 23:25:36,Germany,2151,GER2,Male,6.0,39,5.5,199,0.0,2014,1,199.0
126,,52490,2014-01-19 02:04:00,United States,2235,US15,Female,9.5,40,7.5,139,0.0,2014,1,139.0
127,,52491,2014-01-19 02:04:00,Germany,2214,GER3,Male,10.5,43-44,10.0,139,0.0,2014,1,139.0
128,,52492,2014-01-19 05:11:12,Germany,2209,GER3,Female,7.5,38,5.5,169,0.2,2014,1,135.20000000000002
129,,52493,2014-01-19 11:40:00,United States,2232,US4,Female,7.5,38,5.5,169,0.0,2014,1,169.0
130,,52493,2014-01-19 11:40:00,United States,2150,US8,Male,9.5,42-43,9.0,199,0.0,2014,1,199.0
131,,52494,2014-01-19 14:32:48,United Kingdom,2202,UK4,Male,9.0,42,8.5,199,0.0,2014,1,199.0
132,,52495,2014-01-19 18:23:12,Germany,2185,GER1,Male,8.0,41,7.5,179,0.0,2014,1,179.0
133,,52496,2014-01-19 21:44:48,Canada,2156,CAN6,Male,9.0,42,8.5,189,0.0,2014,1,189.0
134,,52496,2014-01-19 21:44:48,Canada,2189,CAN7,Male,11.0,44,10.5,129,0.3,2014,1,90.3
135,,52497,2014-01-19 22:42:24,Canada,2236,CAN7,Female,8.5,39,6.5,129,0.0,2014,1,129.0
136,,52498,2014-01-19 23:25:36,Germany,2189,GER2,Female,7.5,38,5.5,139,0.5,2014,1,69.5
137,,52499,2014-01-20 02:04:00,United States,2180,US15,Female,8.0,38-39,6.0,149,0.0,2014,1,149.0
138,,52499,2014-01-20 02:04:00,United States,2204,US15,Female,9.5,40,7.5,169,0.1,2014,1,152.1
139,,52500,2014-01-20 14:32:48,United Kingdom,2154,UK2,Male,9.5,42-43,9.0,139,0.0,2014,1,139.0
140,,52501,2014-01-20 18:23:12,Germany,2192,GER1,Male,11.0,44,10.5,199,0.0,2014,1,199.0
141,,52502,2014-01-20 18:23:12,United States,2230,US15,Female,8.0,38-39,6.0,129,0.0,2014,1,129.0
142,,52503,2014-01-20 21:44:48,Canada,2185,CAN7,Male,7.5,40-41,7.0,169,0.0,2014,1,169.0
143,,52503,2014-01-20 21:44:48,Canada,2156,CAN6,Male,9.0,42,8.5,189,0.0,2014,1,189.0
144,,52504,2014-01-20 23:25:36,Germany,2180,GER3,Female,7.5,38,5.5,139,0.0,2014,1,139.0
145,,52505,2014-01-21 02:04:00,United States,2154,US15,Female,8.0,38-39,6.0,139,0.3,2014,1,97.3
146,,52505,2014-01-21 02:04:00,United States,2214,US15,Female,9.5,40,7.5,149,0.5,2014,1,74.5
147,,52506,2014-01-21 09:30:24,Germany,2238,GER1,Male,11.5,44-45,11.0,129,0.1,2014,1,116.10000000000001
148,,52507,2014-01-21 12:08:48,Germany,2151,GER1,Male,9.5,42-43,9.0,149,0.2,2014,1,119.2
149,,52508,2014-01-21 14:32:48,United Kingdom,2222,UK4,Female,9.0,39-40,7.0,159,0.0,2014,1,159.0
150,,52509,2014-01-21 18:23:12,United States,2177,US5,Female,7.5,38,5.5,159,0.2,2014,1,127.2
151,,52510,2014-01-21 21:44:48,Canada,2178,CAN5,Male,9.5,42-43,9.0,139,0.1,2014,1,125.10000000000001
152,,52510,2014-01-21 21:44:48,Canada,2185,CAN7,Male,7.5,40-41,7.0,169,0.0,2014,1,169.0
153,,52511,2014-01-22 09:30:24,Germany,2199,GER2,Male,11.5,44-45,11.0,189,0.0,2014,1,189.0
154,,52512,2014-01-22 10:13:36,Germany,2200,GER2,Female,7.0,37-38,5.0,129,0.0,2014,1,129.0
155,,52513,2014-01-22 12:08:48,United States,2183,US4,Female,8.0,38-39,6.0,149,0.0,2014,1,149.0
156,,52514,2014-01-22 16:13:36,United States,2175,US15,Male,9.0,42,8.5,179,0.5,2014,1,89.5
157,,52515,2014-01-22 18:23:12,United States,2204,US6,Female,7.5,38,5.5,169,0.0,2014,1,169.0
158,,52516,2014-01-23 09:30:24,United States,2152,US15,Female,7.5,38,5.5,149,0.3,2014,1,104.3
159,,52517,2014-01-23 10:13:36,Canada,2189,CAN7,Male,11.0,44,10.5,129,0.3,2014,1,90.3
160,,52518,2014-01-23 12:08:48,United States,2163,US12,Female,8.0,38-39,6.0,149,0.0,2014,1,149.0
161,,52519,2014-01-23 13:20:48,United States,2172,US13,Male,10.5,43-44,10.0,129,0.2,2014,1,103.2
162,,52520,2014-01-23 13:20:48,Germany,2191,GER2,Male,9.5,42-43,9.0,199,0.3,2014,1,139.29999999999998
163,,52521,2014-01-23 16:13:36,United States,2213,US6,Male,11.5,44-45,11.0,179,0.3,2014,1,125.3
164,,52522,2014-01-23 21:59:12,United States,2173,US7,Female,9.5,40,7.5,199,0.0,2014,1,199.0
165,,52522,2014-01-23 21:59:12,United States,2190,US13,Female,9.5,40,7.5,169,0.3,2014,1,118.3
166,,52523,2014-01-24 01:06:24,Germany,2233,GER3,Male,9.5,42-43,9.0,179,0.0,2014,1,179.0
167,,52524,2014-01-24 10:13:36,Canada,2156,CAN6,Male,9.0,42,8.5,189,0.0,2014,1,189.0
168,,52525,2014-01-24 11:11:12,United States,2158,US13,Male,10.5,43-44,10.0,159,0.2,2014,1,127.2
169,,52526,2014-01-24 13:20:48,United States,2219,US13,Male,10.5,43-44,10.0,139,0.0,2014,1,139.0
170,,52527,2014-01-24 13:20:48,Canada,2227,CAN1,Female,8.0,38-39,6.0,179,0.3,2014,1,125.3
171,,52528,2014-01-24 16:13:36,United States,2211,US6,Male,9.5,42-43,9.0,189,0.0,2014,1,189.0
172,,52529,2014-01-24 16:28:00,United States,2164,US5,Female,8.0,38-39,6.0,149,0.0,2014,1,149.0
173,,52530,2014-01-24 21:59:12,United States,2175,US15,Male,9.0,42,8.5,179,0.5,2014,1,89.5
174,,52530,2014-01-24 21:59:12,United States,2173,US7,Female,9.5,40,7.5,199,0.0,2014,1,199.0
175,,52531,2014-01-25 01:06:24,United Kingdom,2169,UK4,Female,7.5,38,5.5,189,0.2,2014,1,151.20000000000002
176,,52532,2014-01-25 06:08:48,Canada,2217,CAN5,Male,7.0,40,6.5,199,0.0,2014,1,199.0
177,,52533,2014-01-25 06:23:12,Canada,2151,CAN5,Female,9.0,39-40,7.0,129,0.5,2014,1,64.5
178,,52534,2014-01-25 11:11:12,United States,2235,US13,Male,8.5,41-42,8.0,169,0.3,2014,1,118.3
179,,52535,2014-01-25 13:20:48,Germany,2169,GER1,Male,9.5,42-43,9.0,129,0.0,2014,1,129.0
180,,52535,2014-01-25 13:20:48,Germany,2197,GER1,Female,8.5,39,6.5,179,0.2,2014,1,143.20000000000002
181,,52536,2014-01-25 16:28:00,Germany,2151,GER1,Male,9.5,42-43,9.0,149,0.2,2014,1,119.2
182,,52537,2014-01-25 21:16:00,United States,2203,US8,Female,8.0,38-39,6.0,179,0.5,2014,1,89.5
183,,52538,2014-01-25 21:59:12,United States,2213,US6,Male,11.5,44-45,11.0,179,0.3,2014,1,125.3
184,,52538,2014-01-25 21:59:12,United States,2175,US15,Male,9.0,42,8.5,179,0.5,2014,1,89.5
185,,52539,2014-01-26 01:06:24,United Kingdom,2227,UK1,Female,7.5,38,5.5,129,0.5,2014,1,64.5
186,,52540,2014-01-26 06:08:48,Germany,2200,GER2,Female,7.0,37-38,5.0,129,0.0,2014,1,129.0
187,,52541,2014-01-26 06:23:12,Canada,2154,CAN6,Female,9.0,39-40,7.0,129,0.0,2014,1,129.0
188,,52542,2014-01-26 11:11:12,United States,2147,US15,Female,8.5,39,6.5,189,0.0,2014,1,189.0
189,,52543,2014-01-26 16:28:00,United States,2183,US4,Female,8.0,38-39,6.0,149,0.0,2014,1,149.0
190,,52544,2014-01-26 19:20:48,United Kingdom,2158,UK4,Female,6.0,36-37,4.0,189,0.0,2014,1,189.0
191,,52545,2014-01-26 21:16:00,United States,2226,US8,Female,8.0,38-39,6.0,199,0.3,2014,1,139.29999999999998
192,,52546,2014-01-26 21:59:12,Germany,2227,GER1,Female,9.0,39-40,7.0,149,0.1,2014,1,134.1
193,,52547,2014-01-27 06:08:48,Canada,2189,CAN7,Male,11.0,44,10.5,129,0.3,2014,1,90.3
194,,52548,2014-01-27 06:23:12,United Kingdom,2224,UK3,Male,8.5,41-42,8.0,129,0.5,2014,1,64.5
195,,52549,2014-01-27 19:20:48,Canada,2198,CAN5,Male,9.0,42,8.5,169,0.3,2014,1,118.3
196,,52550,2014-01-27 20:47:12,Germany,2201,GER1,Male,10.0,43,9.5,149,0.0,2014,1,149.0
197,,52551,2014-01-27 21:16:00,United States,2164,US5,Female,8.0,38-39,6.0,149,0.0,2014,1,149.0
198,,52552,2014-01-27 21:59:12,Germany,2189,GER3,Female,9.0,39-40,7.0,149,0.3,2014,1,104.3
199,,52553,2014-01-28 05:25:36,Germany,2219,GER3,Male,10.5,43-44,10.0,179,0.3,2014,1,125.3
200,,52554,2014-01-28 19:20:48,United Kingdom,2224,UK3,Female,6.0,36-37,4.0,129,0.0,2014,1,129.0
201,,52555,2014-01-28 20:47:12,Germany,2233,GER3,Male,9.5,42-43,9.0,179,0.0,2014,1,179.0
202,,52556,2014-01-28 21:59:12,Germany,2210,GER3,Female,9.0,39-40,7.0,169,0.5,2014,1,84.5
203,,52557,2014-01-29 03:59:12,United States,2231,US5,Male,10.0,43,9.5,159,0.1,2014,1,143.1
204,,52558,2014-01-29 05:25:36,Canada,2220,CAN5,Female,8.0,38-39,6.0,169,0.0,2014,1,169.0
205,,52559,2014-01-29 20:47:12,United Kingdom,2169,UK4,Female,7.5,38,5.5,189,0.2,2014,1,151.20000000000002
206,,52560,2014-01-30 01:49:36,United States,2228,US15,Male,9.5,42-43,9.0,169,0.0,2014,1,169.0
207,,52560,2014-01-30 01:49:36,United States,2165,US3,Female,8.0,38-39,6.0,189,0.0,2014,1,189.0
208,,52561,2014-01-30 03:59:12,United States,2234,US12,Female,9.5,40,7.5,159,0.0,2014,1,159.0
209,,52562,2014-01-30 05:25:36,Germany,2191,GER2,Male,9.5,42-43,9.0,199,0.3,2014,1,139.29999999999998
210,,52563,2014-01-30 16:13:36,United States,2190,US15,Male,8.5,41-42,8.0,189,0.5,2014,1,94.5
211,,52564,2014-01-31 01:49:36,United States,2195,US15,Male,11.5,44-45,11.0,199,0.2,2014,1,159.20000000000002
212,,52564,2014-01-31 01:49:36,United States,2228,US15,Male,9.5,42-43,9.0,169,0.0,2014,1,169.0
213,,52565,2014-01-31 03:59:12,United States,2166,US12,Male,9.0,42,8.5,139,0.0,2014,1,139.0
214,,52566,2014-01-31 13:49:36,Germany,2165,GER1,Female,10.5,41,8.5,179,0.2,2014,1,143.20000000000002
215,,52567,2014-01-31 14:18:24,United States,2180,US15,Female,8.0,38-39,6.0,149,0.0,2014,1,149.0
216,,52567,2014-01-31 14:18:24,United States,2208,US15,Female,8.0,38-39,6.0,159,0.0,2014,1,159.0
217,,52567,2014-01-31 14:18:24,United States,2237,US10,Female,8.0,38-39,6.0,129,0.1,2014,1,116.10000000000001
218,,52568,2014-01-31 16:13:36,United States,2177,US15,Male,14.0,47,13.5,159,0.1,2014,1,143.1
219,,52569,2014-01-31 20:47:12,Canada,2147,CAN3,Female,8.0,38-39,6.0,169,0.1,2014,1,152.1
220,,52570,2014-02-01 01:49:36,United States,2193,US15,Male,10.5,43-44,10.0,199,0.0,2014,2,199.0
221,,52570,2014-02-01 01:49:36,United States,2195,US15,Male,11.5,44-45,11.0,199,0.2,2014,2,159.20000000000002
222,,52571,2014-02-01 13:49:36,Germany,2212,GER2,Female,10.5,41,8.5,199,0.0,2014,2,199.0
223,,52572,2014-02-01 14:18:24,United States,2211,US15,Female,8.0,38-39,6.0,169,0.0,2014,2,169.0
224,,52572,2014-02-01 14:18:24,United States,2165,US3,Female,8.0,38-39,6.0,189,0.0,2014,2,189.0
225,,52573,2014-02-01 14:18:24,Germany,2214,GER3,Male,10.5,43-44,10.0,139,0.0,2014,2,139.0
226,,52574,2014-02-01 16:13:36,Canada,2211,CAN7,Female,8.5,39,6.5,149,0.0,2014,2,149.0
227,,52575,2014-02-01 20:32:48,Canada,2182,CAN2,Female,9.0,39-40,7.0,179,0.0,2014,2,179.0
228,,52576,2014-02-01 20:47:12,Canada,2214,CAN6,Female,8.0,38-39,6.0,189,0.1,2014,2,170.1
229,,52577,2014-02-02 00:52:00,United Kingdom,2222,UK4,Male,10.5,43-44,10.0,199,0.1,2014,2,179.1
230,,52578,2014-02-02 00:52:00,United States,2201,US15,Female,7.5,38,5.5,189,0.0,2014,2,189.0
231,,52579,2014-02-02 13:49:36,Germany,2181,GER2,Female,10.5,41,8.5,159,0.0,2014,2,159.0
232,,52580,2014-02-02 14:18:24,United States,2180,US15,Female,8.0,38-39,6.0,149,0.0,2014,2,149.0
233,,52580,2014-02-02 14:18:24,United States,2180,US15,Female,8.0,38-39,6.0,149,0.0,2014,2,149.0
